State,2012,2008,2004,2000,1996,1992,1988,1984,1980,1976,1972,1968,1964,1960,1956,1952,1948,1944,1940,1936,1932,1928,1924,1920,1916,1912,1908,1904,1900,1896,1892,1888,1884,1880,1876,1872,1868,1864,1860,1856,1852,1848,1844,1840,1836,1832,1828
Oklahoma,0.3323,0.3435,0.6557,0.6031,0.4045,0.3402,0.5793,0.6861,0.605,0.4875,0.737,0.4768,0.5575,0.4098,0.5513,0.5459,0.6275,0.5557,0.5741,0.6683,0.733,0.6372,0.4282,0.5011,0.5065,0.4695,0.4333,,,,,,,,,,,,,,,,,,,,
Oregon,0.5424,0.5675,0.4719,0.4652,0.4715,0.4248,0.4661,0.5591,0.4833,0.4762,0.5245,0.4983,0.6372,0.4732,0.5525,0.6054,0.464,0.5178,0.537,0.6442,0.5799,0.6418,0.5101,0.602,0.459,0.3434,0.5639,0.6706,0.5546,0.5007,0.1815,0.5382,0.467,0.5051,0.5092,0.5866,0.4963,0.539,0.362,,,,,,,,
Pennsylvania,0.5196,0.5447,0.4842,0.4643,0.4917,0.4515,0.507,0.5334,0.4959,0.504,0.5911,0.4402,0.6492,0.5106,0.5649,0.5274,0.4692,0.5114,0.5323,0.5688,0.4533,0.6524,0.6534,0.6576,0.4022,0.3249,0.5884,0.68,0.6074,0.6098,0.4509,0.5274,0.4346,0.5084,0.5062,0.6207,0.522,0.5175,0.5626,0.5013,0.512,0.5028,0.505,0.5,0.5118,0.5796,0.6666
Rhode Island,0.627,0.6286,0.3867,0.3191,0.5971,0.4704,0.4393,0.5166,0.372,0.5536,0.53,0.3178,0.8087,0.6363,0.5826,0.5089,0.5759,0.5859,0.5673,0.531,0.5508,0.4955,0.5963,0.6397,0.46,0.3904,0.6076,0.606,0.5974,0.6833,0.4575,0.5388,0.3781,0.6224,0.5929,0.7194,0.6649,0.6224,0.6137,0.337,0.5137,0.6077,0.3958,0.6122,0.5224,0.4307,0.2297
South Carolina,0.4409,0.449,0.5798,0.5683,0.4385,0.3988,0.615,0.6355,0.4957,0.5617,0.7058,0.3809,0.411,0.5124,0.2518,0.4928,0.2414,0.8764,0.9563,0.9857,0.9803,0.0854,0.0221,0.0391,0.9671,0.9594,0.0594,0.0463,0.0704,0.1351,0.7756,0.1717,0.7525,0.3413,0.5024,0.7573,0.5793,,0,,,,,,,,
South Dakota,0.3987,0.4475,0.5991,0.603,0.4303,0.3714,0.5285,0.63,0.6053,0.4891,0.5415,0.5327,0.5561,0.4179,0.5839,0.6927,0.4704,0.4167,0.4259,0.5402,0.6362,0.6018,0.4969,0.6074,0.4591,0.4207,0.5884,0.7109,0.5673,0.4948,0.1288,,,,,,,,,,,,,,,,
Tennessee,0.3904,0.4179,0.5681,0.5115,0.48,0.4708,0.5789,0.5784,0.487,0.5594,0.677,0.3785,0.555,0.4577,0.4921,0.4999,0.4914,0.6045,0.6725,0.6878,0.6649,0.5376,0.4354,0.5129,0.5631,0.528,0.4587,0.434,0.4495,0.4633,0.5136,0.4576,0.5145,0.4426,0.4021,0.4784,0.6843,,0,0.5218,0.4927,0.5252,0.4995,0.5566,0.4208,0.9542,0.9519
Texas,0.4135,0.4363,0.6109,0.593,0.4383,0.3708,0.5595,0.6361,0.5528,0.5114,0.662,0.3987,0.6332,0.5052,0.5526,0.5313,0.6596,0.7142,0.8092,0.8708,0.8806,0.5177,0.1978,0.2354,0.7692,0.7273,0.2235,0.219,0.3083,0.3075,0.5665,0.2473,0.6926,0.2395,0.2996,0.4071,,,,0.6659,0.7307,0.2971,,,,,
Utah,0.2467,0.3417,0.7154,0.6683,0.333,0.2465,0.6622,0.745,0.7277,0.3365,0.6764,0.5649,0.5486,0.4517,0.6456,0.5893,0.5398,0.6044,0.6225,0.6934,0.5652,0.5358,0.4926,0.5593,0.5878,0.3255,0.5619,0.6142,0.5058,0.1727,,,,,,,,,,,,,,,,,
Vermont,0.6657,0.6746,0.388,0.407,0.5335,0.4611,0.511,0.5792,0.4437,0.4314,0.6266,0.5275,0.663,0.4135,0.7216,0.7145,0.3692,0.4293,0.4492,0.4324,0.4108,0.6687,0.7822,0.7582,0.3522,0.2443,0.7508,0.7797,0.7573,0.8008,0.2926,0.6905,0.2918,0.6981,0.683,0.7829,0.7857,0.761,0.7586,0.2084,0.2972,0.4827,0.3696,0.639,0.4007,0.245,0.2477
Virginia,0.5116,0.5263,0.5368,0.5247,0.4515,0.4059,0.5974,0.6229,0.5303,0.4796,0.6784,0.4336,0.5354,0.4697,0.5537,0.5632,0.4789,0.6236,0.6808,0.7023,0.6846,0.5391,0.3279,0.3786,0.6677,0.6595,0.3836,0.3695,0.4382,0.4594,0.5617,0.4946,0.5105,0.3947,0.4042,0.5047,,,0.0113,0.5996,0.5571,0.492,0.5305,0.4935,0.5664,0.7496,0.6899
Washington,0.558,0.5734,0.456,0.4456,0.4984,0.434,0.4846,0.5582,0.4966,0.4611,0.5692,0.4512,0.6197,0.4827,0.5391,0.5433,0.5261,0.5684,0.5822,0.6638,0.5746,0.6706,0.5224,0.5596,0.4813,0.269,0.5768,0.6995,0.5344,0.4184,0.3388,,,,,,,,,,,,,,,,
West Virginia,0.3545,0.4249,0.5606,0.5192,0.5151,0.4841,0.4746,0.5511,0.453,0.5807,0.6361,0.4078,0.6794,0.5273,0.5408,0.4808,0.5732,0.5489,0.571,0.6056,0.5447,0.5843,0.4945,0.553,0.4844,0.4211,0.5342,0.5526,0.5427,0.5223,0.4937,0.4903,0.5094,0.4105,0.4215,0.5174,0.5883,0.6824,,,,,,,,,
Wisconsin,0.5283,0.5622,0.4932,0.4761,0.4881,0.4113,0.478,0.5419,0.479,0.495,0.534,0.4789,0.6209,0.4805,0.6158,0.6095,0.507,0.4857,0.5015,0.638,0.6346,0.5352,0.3706,0.711,0.428,0.4106,0.5452,0.6321,0.6006,0.5993,0.4772,0.4979,0.4579,0.5404,0.5057,0.546,0.5625,0.5588,0.5659,0.4422,0.5204,0.351,,,,,
Wyoming,0.2782,0.3254,0.6886,0.6776,0.3684,0.3397,0.6053,0.7051,0.6264,0.3981,0.6901,0.5576,0.5656,0.4499,0.6008,0.6271,0.5162,0.4877,0.5282,0.6058,0.5607,0.6368,0.5239,0.6415,0.5462,0.362,0.5543,0.6672,0.5866,0.4775,,,,,,,,,,,,,,,,,
Washington DC,0.9091,0.9246,0.0934,0.0895,0.8519,0.8464,0.143,0.1373,0.1341,0.8163,0.2156,0.1818,0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
